Node_ID,Original_Class_ID,Original_Class_Name,Meta_Class,Meta_Class_Binary,Degree
0,3,Neural_Networks,C2_Practical_Applied,1,3
1,4,Case_Based,C1_Logic_Theory,0,3
2,4,Case_Based,C1_Logic_Theory,0,5
3,0,Theory,C1_Logic_Theory,0,1
4,3,Neural_Networks,C2_Practical_Applied,1,5
5,2,Rule_Learning,C1_Logic_Theory,0,3
6,0,Theory,C1_Logic_Theory,0,4
7,3,Neural_Networks,C2_Practical_Applied,1,1
8,3,Neural_Networks,C2_Practical_Applied,1,3
9,2,Rule_Learning,C1_Logic_Theory,0,2
10,0,Theory,C1_Logic_Theory,0,2
11,0,Theory,C1_Logic_Theory,0,2
12,4,Case_Based,C1_Logic_Theory,0,4
13,3,Neural_Networks,C2_Practical_Applied,1,2
14,3,Neural_Networks,C2_Practical_Applied,1,5
15,3,Neural_Networks,C2_Practical_Applied,1,4
16,2,Rule_Learning,C1_Logic_Theory,0,4
17,3,Neural_Networks,C2_Practical_Applied,1,5
18,1,Reinforcement_Learning,C2_Practical_Applied,1,5
19,3,Neural_Networks,C2_Practical_Applied,1,1
20,5,Genetic_Algorithms,C2_Practical_Applied,1,5
21,3,Neural_Networks,C2_Practical_Applied,1,2
22,4,Case_Based,C1_Logic_Theory,0,5
23,6,Probabilistic_Methods,C2_Practical_Applied,1,1
24,3,Neural_Networks,C2_Practical_Applied,1,7
25,3,Neural_Networks,C2_Practical_Applied,1,4
26,6,Probabilistic_Methods,C2_Practical_Applied,1,5
27,3,Neural_Networks,C2_Practical_Applied,1,4
28,2,Rule_Learning,C1_Logic_Theory,0,1
29,4,Case_Based,C1_Logic_Theory,0,2
30,3,Neural_Networks,C2_Practical_Applied,1,6
31,6,Probabilistic_Methods,C2_Practical_Applied,1,1
32,0,Theory,C1_Logic_Theory,0,4
33,4,Case_Based,C1_Logic_Theory,0,9
34,2,Rule_Learning,C1_Logic_Theory,0,1
35,0,Theory,C1_Logic_Theory,0,3
36,1,Reinforcement_Learning,C2_Practical_Applied,1,8
37,5,Genetic_Algorithms,C2_Practical_Applied,1,3
38,4,Case_Based,C1_Logic_Theory,0,4
39,4,Case_Based,C1_Logic_Theory,0,7
