,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,gmean_mean,gmean_std,balanced_accuracy_mean,balanced_accuracy_std
Full Fuzzy-GraphSMOTE,0.9477,0.008,0.9439,0.0081,0.9427,0.0084,0.9429,0.0084
Without Fuzzy (GraphSMOTE),0.9215,0.0119,0.9163,0.0124,0.9179,0.0149,0.9182,0.0147
Without Graph (Fuzzy-SMOTE),0.8575,0.0092,0.8471,0.0099,0.8457,0.0095,0.8468,0.0093
Without Oversampling (Vanilla),0.9459,0.0084,0.9422,0.0083,0.9428,0.0069,0.943,0.0069
Without Pre-training,0.9488,0.0088,0.945,0.0091,0.9432,0.0104,0.9435,0.0102
Without Edge Generator,0.9488,0.0059,0.9451,0.0057,0.9437,0.0063,0.944,0.0063
θ=0.5 (More Minority),0.9451,0.0108,0.9412,0.0108,0.9397,0.0101,0.94,0.0101
θ=0.9 (Fewer Minority),0.9459,0.0074,0.9418,0.0074,0.9392,0.0074,0.9396,0.0074
α=0.5 (Less Oversampling),0.9466,0.0086,0.9427,0.0087,0.9409,0.0084,0.9412,0.0084
α=2.0 (More Oversampling),0.9477,0.0072,0.9438,0.0074,0.9413,0.0081,0.9416,0.008
